Name	Type	Attributes	Definition
sequence_id	string	required, identifier, nullable	"Unique query sequence identifier for the Rearrangement. Most often this will be the input sequence header or a substring thereof, but may also be a custom identifier defined by the tool in cases where query sequences have been combined in some fashion prior to alignment. When downloaded from an AIRR Data Commons repository, this will usually be a universally unique record locator for linking with other objects in the AIRR Data Model.
"
sequence	string	required, nullable	"The query nucleotide sequence. Usually, this is the unmodified input sequence, which may be reverse complemented if necessary. In some cases, this field may contain consensus sequences or other types of collapsed input sequences if these steps are performed prior to alignment.
"
quality	string	optional, nullable	"The Sanger/Phred quality scores for assessment of sequence quality. Phred quality scores from 0 to 93 are encoded using ASCII 33 to 126 (Used by Illumina from v1.8.)
"
sequence_aa	string	optional, nullable	"Amino acid translation of the query nucleotide sequence.
"
rev_comp	boolean	required, nullable	"True if the alignment is on the opposite strand (reverse complemented) with respect to the query sequence. If True then all output data, such as alignment coordinates and sequences, are based on the reverse complement of 'sequence'.
"
productive	boolean	required, nullable	"True if the V(D)J sequence is predicted to be productive.
"
vj_in_frame	boolean	optional, nullable	True if the V and J gene alignments are in-frame.
stop_codon	boolean	optional, nullable	True if the aligned sequence contains a stop codon.
complete_vdj	boolean	optional, nullable	"True if the sequence alignment spans the entire V(D)J region. Meaning, sequence_alignment includes both the first V gene codon that encodes the mature polypeptide chain (i.e., after the leader sequence) and the last complete codon of the J gene (i.e., before the J-C splice site). This does not require an absence of deletions within the internal FWR and CDR regions of the alignment.
"
locus	string	optional, nullable	"Gene locus (chain type). Note that this field uses a controlled vocabulary that is meant to provide a generic classification of the locus, not necessarily the correct designation according to a specific nomenclature.
"
v_call	string	required, nullable	"V gene with allele. If referring to a known reference sequence in a database the relevant gene/allele nomenclature should be followed (e.g., IGHV4-59*01 if using IMGT/GENE-DB).
"
d_call	string	required, nullable	"First or only D gene with allele. If referring to a known reference sequence in a database the relevant gene/allele nomenclature should be followed (e.g., IGHD3-10*01 if using IMGT/GENE-DB).
"
d2_call	string	optional, nullable	"Second D gene with allele. If referring to a known reference sequence in a database the relevant gene/allele nomenclature should be followed (e.g., IGHD3-10*01 if using IMGT/GENE-DB).
"
j_call	string	required, nullable	"J gene with allele. If referring to a known reference sequence in a database the relevant gene/allele nomenclature should be followed (e.g., IGHJ4*02 if using IMGT/GENE-DB).
"
c_call	string	optional, nullable	"Constant region gene with allele. If referring to a known reference sequence in a database the relevant gene/allele nomenclature should be followed (e.g., IGHG1*01 if using IMGT/GENE-DB).
"
sequence_alignment	string	required, nullable	"Aligned portion of query sequence, including any indel corrections or numbering spacers, such as IMGT-gaps. Typically, this will include only the V(D)J region, but that is not a requirement.
"
quality_alignment	string	optional, nullable	"Sanger/Phred quality scores for assessment of sequence_alignment quality. Phred quality scores from 0 to 93 are encoded using ASCII 33 to 126 (Used by Illumina from v1.8.)
"
sequence_alignment_aa	string	optional, nullable	"Amino acid translation of the aligned query sequence.
"
germline_alignment	string	required, nullable	"Assembled, aligned, full-length inferred germline sequence spanning the same region as the sequence_alignment field (typically the V(D)J region) and including the same set of corrections and spacers (if any).
"
germline_alignment_aa	string	optional, nullable	"Amino acid translation of the assembled germline sequence.
"
junction	string	required, nullable	"Junction region nucleotide sequence, where the junction is defined as the CDR3 plus the two flanking conserved codons.
"
junction_aa	string	required, nullable	"Amino acid translation of the junction.
"
np1	string	optional, nullable	"Nucleotide sequence of the combined N/P region between the V gene and first D gene alignment or between the V gene and J gene alignments.
"
np1_aa	string	optional, nullable	"Amino acid translation of the np1 field.
"
np2	string	optional, nullable	"Nucleotide sequence of the combined N/P region between either the first D gene and J gene alignments or the first D gene and second D gene alignments.
"
np2_aa	string	optional, nullable	"Amino acid translation of the np2 field.
"
np3	string	optional, nullable	"Nucleotide sequence of the combined N/P region between the second D gene and J gene alignments.
"
np3_aa	string	optional, nullable	"Amino acid translation of the np3 field.
"
cdr1	string	optional, nullable	"Nucleotide sequence of the aligned CDR1 region.
"
cdr1_aa	string	optional, nullable	"Amino acid translation of the cdr1 field.
"
cdr2	string	optional, nullable	"Nucleotide sequence of the aligned CDR2 region.
"
cdr2_aa	string	optional, nullable	"Amino acid translation of the cdr2 field.
"
cdr3	string	optional, nullable	"Nucleotide sequence of the aligned CDR3 region.
"
cdr3_aa	string	optional, nullable	"Amino acid translation of the cdr3 field.
"
fwr1	string	optional, nullable	"Nucleotide sequence of the aligned FWR1 region.
"
fwr1_aa	string	optional, nullable	"Amino acid translation of the fwr1 field.
"
fwr2	string	optional, nullable	"Nucleotide sequence of the aligned FWR2 region.
"
fwr2_aa	string	optional, nullable	"Amino acid translation of the fwr2 field.
"
fwr3	string	optional, nullable	"Nucleotide sequence of the aligned FWR3 region.
"
fwr3_aa	string	optional, nullable	"Amino acid translation of the fwr3 field.
"
fwr4	string	optional, nullable	"Nucleotide sequence of the aligned FWR4 region.
"
fwr4_aa	string	optional, nullable	"Amino acid translation of the fwr4 field.
"
v_score	number	optional, nullable	Alignment score for the V gene.
v_identity	number	optional, nullable	Fractional identity for the V gene alignment.
v_support	number	optional, nullable	"V gene alignment E-value, p-value, likelihood, probability or other similar measure of support for the V gene assignment as defined by the alignment tool.
"
v_cigar	string	required, nullable	CIGAR string for the V gene alignment.
d_score	number	optional, nullable	Alignment score for the first or only D gene alignment.
d_identity	number	optional, nullable	Fractional identity for the first or only D gene alignment.
d_support	number	optional, nullable	"D gene alignment E-value, p-value, likelihood, probability or other similar measure of support for the first or only D gene as defined by the alignment tool.
"
d_cigar	string	required, nullable	CIGAR string for the first or only D gene alignment.
d2_score	number	optional, nullable	Alignment score for the second D gene alignment.
d2_identity	number	optional, nullable	Fractional identity for the second D gene alignment.
d2_support	number	optional, nullable	"D gene alignment E-value, p-value, likelihood, probability or other similar measure of support for the second D gene as defined by the alignment tool.
"
d2_cigar	string	optional, nullable	CIGAR string for the second D gene alignment.
j_score	number	optional, nullable	Alignment score for the J gene alignment.
j_identity	number	optional, nullable	Fractional identity for the J gene alignment.
j_support	number	optional, nullable	"J gene alignment E-value, p-value, likelihood, probability or other similar measure of support for the J gene assignment as defined by the alignment tool.
"
j_cigar	string	required, nullable	CIGAR string for the J gene alignment.
c_score	number	optional, nullable	Alignment score for the C gene alignment.
c_identity	number	optional, nullable	Fractional identity for the C gene alignment.
c_support	number	optional, nullable	"C gene alignment E-value, p-value, likelihood, probability or other similar measure of support for the C gene assignment as defined by the alignment tool.
"
c_cigar	string	optional, nullable	CIGAR string for the C gene alignment.
v_sequence_start	integer	optional, nullable	"Start position of the V gene in the query sequence (1-based closed interval).
"
v_sequence_end	integer	optional, nullable	"End position of the V gene in the query sequence (1-based closed interval).
"
v_germline_start	integer	optional, nullable	"Alignment start position in the V gene reference sequence (1-based closed interval).
"
v_germline_end	integer	optional, nullable	"Alignment end position in the V gene reference sequence (1-based closed interval).
"
v_alignment_start	integer	optional, nullable	"Start position of the V gene alignment in both the sequence_alignment and germline_alignment fields (1-based closed interval).
"
v_alignment_end	integer	optional, nullable	"End position of the V gene alignment in both the sequence_alignment and germline_alignment fields (1-based closed interval).
"
d_sequence_start	integer	optional, nullable	"Start position of the first or only D gene in the query sequence. (1-based closed interval).
"
d_sequence_end	integer	optional, nullable	"End position of the first or only D gene in the query sequence. (1-based closed interval).
"
d_germline_start	integer	optional, nullable	"Alignment start position in the D gene reference sequence for the first or only D gene (1-based closed interval).
"
d_germline_end	integer	optional, nullable	"Alignment end position in the D gene reference sequence for the first or only D gene (1-based closed interval).
"
